"id","Length","Invertebrates","Fish","Tetrapods","Region","PurportedSubspecies","Lineage"
1,95,0,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
852,85,0,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
863,83,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
842,82,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
76,80,1,1,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
65,43,0,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
2,42,0,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
52,41,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
854,33,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
853,32,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
837,31,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
836,30,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
838,28,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
66,52,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
864,52,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
47,47,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
75,47,1,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
53,46,1,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
4,46,0,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
67,45,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
87,45,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
840,62,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
207,61,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
48,59,1,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
857,59,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
73,58,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
74,57,1,1,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
835,57,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
201,54,0,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
5,68,1,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
848,67,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
62,67,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
61,66,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
6,65,0,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
89,65,0,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
54,65,1,1,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
847,62,0,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
63,73,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
69,73,1,1,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
858,72,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
77,71,1,1,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
841,70,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
7,69,1,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
72,69,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
68,69,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
851,79,0,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
849,78,0,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
844,76,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
843,76,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
70,75,1,0,1,"West of East Andes","C. c. fuscus","C. c. fuscus"
859,74,1,1,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
856,74,0,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
210,74,1,0,0,"West of East Andes","C. c. fuscus","C. c. fuscus"
